 UTC           m   sec  deg     m     sec    mB     m/s  deg Air(C) Sfc(C) m/s deg  f
2012 05 31 16 32  0.88  9.09 106           5.82                           21.0           1
2012 05 31 17 02  0.99  8.33 121           6.04                           21.8           1
2012 05 31 17 32  0.92  8.33 110           6.08                           22.5           1
2012 05 31 18 02  0.96  8.33  92           6.18                           23.5           1
2012 05 31 18 32  0.89  8.33  82           6.20                           24.0           1
2012 05 31 19 02  0.90  8.33  93           6.20                           24.1           1
2012 05 31 19 32  0.96  8.33  97           6.40                           24.0           1
2012 05 31 20 02  0.87  7.69  82           6.39                           24.9           1
2012 05 31 20 32  0.88  7.69 109           6.58                           23.5           1
2012 05 31 21 02  0.95  7.69  85           6.74                           22.8           1
2012 05 31 21 32  0.84  7.69  90           6.37                           22.7           1
2012 05 31 22 02  0.87  7.69  87           6.59                           22.4           1
2012 05 31 22 32  0.94  8.33  87           6.66                           22.5           1
2012 05 31 23 02  0.92  8.33  75           6.59                           22.5           1
2012 05 31 23 32  0.91  8.33  76           6.61                           21.9           1
